"filename", "language", "EditorConfig", "Ignore", "JavaScript", "JSON", "Markdown", "TypeScript", "Less", "XML", "TypeScript React", "HTML", "comment", "blank", "total"
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\components\BaseView.less", "Less", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 6, 59
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\components\base.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 179, 0, 0, 11, 190
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\components\binding.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 4, 49
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\components\notification.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 5, 47
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\components\security.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 5, 64
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\data.d.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 3, 35
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 164, 0, 0, 24, 188
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\model.ts", "TypeScript", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 8, 65
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\service.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\account\settings\style.less", "Less", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 2, 4, 98
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\group\data.d.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\group\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 1, 7, 101
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\group\model.ts", "TypeScript", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 8, 75
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\group\service.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 3, 14
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\group\style.less", "Less", 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 11, 200
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\project\components\OperationModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 1, 9, 134
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\project\data.d.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\project\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 206, 0, 1, 18, 225
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\project\model.ts", "TypeScript", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 3, 10, 141
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\project\service.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 4, 7, 48
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\project\style.less", "Less", 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 10, 196
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\project\utils\utils.less", "Less", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 2, 3, 51
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\components\OperationModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 11, 131
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\data.d.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 195, 0, 11, 19, 225
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\model.ts", "TypeScript", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 4, 10, 156
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\overview\data.d.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\overview\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 6, 114
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\overview\model.ts", "TypeScript", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 8, 64
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\overview\service.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\overview\style.less", "Less", 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 11, 200
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\service.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 4, 7, 47
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\admin\task\style.less", "Less", 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 11, 200
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 163, 0, 1, 8, 172
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\components\ArticleListContent\index.less", "Less", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\components\ArticleListContent\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 4, 42
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\components\StandardFormRow\index.less", "Less", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 5, 89
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\components\StandardFormRow\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 5, 40
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\components\TagSelect\index.less", "Less", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 2, 34
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\components\TagSelect\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 23, 183
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\data.d.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 75, 11, 251
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\model.ts", "TypeScript", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 8, 65
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\service.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\list\style.less", "Less", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\model.ts", "TypeScript", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 8, 70
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\service.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\article\style.less", "Less", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\_mock.ts", "TypeScript", 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 1, 12, 198
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\Bar\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 18, 134
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\ChartCard\index.less", "Less", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 2, 76
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\ChartCard\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 7, 98
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\Field\index.less", "Less", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\Field\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\Gauge\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 9, 180
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\MiniArea\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 10, 131
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\MiniBar\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 1, 9, 55
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\MiniProgress\index.less", "Less", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 2, 38
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\MiniProgress\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 4, 42
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\Pie\index.less", "Less", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 3, 95
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\Pie\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 270, 0, 5, 35, 310
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\TagCloud\index.less", "Less", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
